"~id","~labels","name","founded_in","type","year","gender","origin"
"110","Exhibition","Siete voces para una autopsia",,"individual",2014,,
"111","Exhibition","Shapes of blue",,"colectiva",2018,,
"112","Exhibition","Seminis",,"individual",2017,,
"113","Exhibition","Selección, escrutinio, disección y taxidermia",,"individual",2019,,
"114","Exhibition","Segunda expo vendimia",,"colectiva",2018,,
"115","Exhibition","Sensaciones vertebradas",,"individual",2016,,
"116","Exhibition","Semillas",,"individual",2017,,
"117","Exhibition","Selección natural",,"individual",2019,,
"118","Exhibition","Septimo Aniversario Galería Municipal",,"colectiva",2009,,
"119","Exhibition","Screen Histology",,"individual",2013,,
"120","Exhibition","Salón de la plástica contemporánea queretana",,"colectiva",2015,,
"121","Exhibition","Saudade",,"individual",2018,,
"122","Exhibition","Sade",,"individual",2014,,
"123","Exhibition","Salmo 22",,"individual",2014,,
"124","Exhibition","Ruido en la mente",,"individual",2014,,
"125","Exhibition","ROTO",,"individual",2014,,
"126","Exhibition","Rojo desierto",,"individual",2017,,
"127","Exhibition","Rock Paper Scissors",,"colectiva",2019,,
"128","Exhibition","Rostros en el tiempo",,"colectiva",2017,,
"129","Exhibition","Rojo Sandía",,"individual",2016,,
"130","Exhibition","Rolling stones",,"individual",2020,,
"131","Exhibition","Rituales",,"individual",2017,,
"132","Exhibition","RIZOMA Boardripper 2015",,"colectiva",2015,,
"133","Exhibition","Retrospectiva",,"individual",2018,,
"134","Exhibition","Reinterpretando a los bárbaros",,"individual",2017,,
"135","Exhibition","Reboot urbano",,"colectiva",2017,,
"136","Exhibition","Remote Awakening",,"individual",2012,,
"138","Exhibition","Resonancias",,"colectiva",2008,,
"139","Exhibition","Relatos náufragos de otro lugar",,"individual",2012,,
"140","Exhibition","Representación ventas 2020",,"colectiva",2020,,
"141","Exhibition","Representación ventas 2019",,"colectiva",2019,,
"142","Exhibition","Representación ventas 2018",,"colectiva",2017,,
"143","Exhibition","Rascagüele",,"individual",2016,,
"144","Exhibition","Querétaro Ilustra",,"colectiva",2017,,
"145","Exhibition","Quien consume, se consume",,"individual",2019,,
"146","Exhibition","Presas de casa",,"individual",2010,,
"147","Exhibition","Print Show",,"colectiva",2016,,
"149","Exhibition","Presencia y mediación",,"individual",2015,,
"150","Exhibition","Print Show 2da edición",,"colectiva",2016,,
"151","Exhibition","Premio Nacional de Pintura Julio Castillo",,"individual",2014,,
"152","Exhibition","Print Show venta colectiva de gráfica",,"colectiva",2018,,
"153","Exhibition","Proyecciones rizomáticas",,"colectiva",2015,,
"154","Exhibition","Poética urbana",,"individual",2015,,
"155","Exhibition","Por confirmar",,"individual",2014,,
"156","Exhibition","Plástica contemporánea Queretana",,"colectiva",2019,,
"157","Exhibition","Plan de Paris",,"individual",2016,,
"158","Exhibition","Pintura descompuesta",,"individual",2015,,
"159","Exhibition","Pintura",,"individual",2015,,
"160","Exhibition","Pintamuertos",,"individual",2015,,
"161","Exhibition","Pintura Construida",,"individual",2012,,
"162","Exhibition","Phenomena Naturales",,"individual",2018,,
"163","Exhibition","Pensamientos viajeros",,"individual",2019,,
"164","Exhibition","Perversa evolución",,"individual",2014,,
"165","Exhibition","Perséfone",,"individual",2018,,
"166","Exhibition","Pequeñas reflexiones Ilustradas",,"individual",2018,,
"167","Exhibition","Panta Rei",,"individual",2017,,
"168","Exhibition","País de ofrendas",,"individual",2018,,
"169","Exhibition","Pareidolias",,"individual",2019,,
"170","Exhibition","Paisajes de lo virtual",,"individual",2014,,
"171","Exhibition","Otras Miradas (UAQ) FBA",,"individual",2014,,
"172","Exhibition","Open studio 3a edición",,"colectiva",2016,,
"173","Exhibition","Open studio verano",,"colectiva",2016,,
"174","Exhibition","Open Studio Ed Invierno",,"colectiva",2015,,
"175","Exhibition","Onironauta",,"individual",2017,,
"176","Exhibition","Obstrucción y referencia",,"individual",2014,,
"177","Exhibition","Nuestros territorios quemados",,"individual",2015,,
"178","Exhibition","Nuevas Narrativas. Pintura Contemporánea Mexicana",,"colectiva",2018,,
"179","Exhibition","Noche de museos Exposición colectiva",,"colectiva",2018,,
"180","Exhibition","No Desierto",,"individual",2019,,
"181","Exhibition","No pintura",,"individual",2015,,
"182","Exhibition","Nostalgia prestada",,"individual",2015,,
"183","Exhibition","NIDOS",,"individual",2014,,
"184","Exhibition","Negra fortuna",,"colectiva",2019,,
"185","Exhibition","Navidad en Colectiva",,"colectiva",2019,,
"186","Exhibition","NA`LU`UM",,"individual",2017,,
"187","Exhibition","Naturaleza y pigmentos",,"individual",2018,,
"188","Exhibition","Muto",,"individual",2012,,
"189","Exhibition","MUTE",,"individual",2017,,
"190","Exhibition","Mundos Alternos",,"individual",2011,,
"191","Exhibition","Murales Colectivos",,"colectiva",2015,,
"192","Exhibition","Muestra colectiva de pintura Bienal Nacional de Pintura Centenario de la constitución",,"colectiva",2017,,
"193","Exhibition","Mundo Cómic II",,"colectiva",2018,,
"194","Exhibition","Museo de los conspiradores",,"colectiva",2015,,
"196","Exhibition","Mujeres, imaginación y realidad",,"individual",2014,,
"197","Exhibition","MONOTIPOS",,"individual",2019,,
"198","Exhibition","MilnovecientosOchentaycuatro",,"colectiva",2016,,
"199","Exhibition","Mito del Sol y la Luna",,"individual",2015,,
"201","Exhibition","Miradas hacia el pastel",,"colectiva",2017,,
"202","Exhibition","Miradas encontradas",,"colectiva",2018,,
"203","Exhibition","Mitologías de lo natural",,"colectiva",2017,,
"204","Exhibition","Minae",,"individual",2018,,
"205","Exhibition","Memoria y horizonte",,"individual",2014,,
"206","Exhibition","Memoria y Horizonte",,"individual",2015,,
"207","Exhibition","Menos Zero",,"individual",2014,,
"208","Exhibition","Mercado negro",,"colectiva",2017,,
"209","Exhibition","Memento Mori",,"colectiva",2019,,
"210","Exhibition","Memorias del imperio",,"individual",2017,,
"211","Exhibition","Mecanismos de luz y pequeñas fricciones",,"individual",2014,,
"212","Exhibition","Metáforas",,"individual",2014,,
"213","Exhibition","Menorragia, inscripciones sanguíneas",,"individual",2015,,
"214","Exhibition","Malleus Maleficarum",,"colectiva",2019,,
"215","Exhibition","Más de 2000 maneras de destruir un libro",,"individual",2015,,
"216","Exhibition","Masters&Pieces BoConcept",,"individual",2015,,
"217","Exhibition","Mausoleos Familiares",,"individual",2020,,
"218","Exhibition","Más allá de Niños de dulce",,"individual",2017,,
"219","Exhibition","Marcatiempos, observatorio gráfico de manías coridianas",,"individual",2017,,
"220","Exhibition","Mapas. De una cartografía en metal a una cartografía digital",,"colectiva",2016,,
"221","Exhibition","Lo primitivo",,"individual",2016,,
"222","Exhibition","Lo común y lo colectivo",,"individual",2012,,
"223","Exhibition","Loop infinito",,"colectiva",2015,,
"224","Exhibition","Lo que nos falta",,"colectiva",2016,,
"225","Exhibition","Love is a dog from hell. El amor nos vuelve Mensos1",,"individual",2017,,
"226","Exhibition","Los días van tan rápido en la Corriente oscura",,"individual",2017,,
"227","Exhibition","Los que mueren son los Otros",,"individual",2017,,
"228","Exhibition","Los zapatos sirios",,"colectiva",2018,,
"229","Exhibition","Lo peor de nosotros",,"colectiva",2016,,
"230","Exhibition","Los desastres colaterales",,"individual",2017,,
"231","Exhibition","Los trabajos de Hércules",,"individual",2015,,
"232","Exhibition","Lo que quiero decir es",,"individual",2013,,
"233","Exhibition","Loop frontier",,"colectiva",2016,,
"234","Exhibition","Lo que veo en lo que veo",,"individual",2018,,
"235","Exhibition","LOCA",,"individual",2013,,
"236","Exhibition","Los cánticos de las criaturas",,"individual",2019,,
"237","Exhibition","Lo ritual y lo habitual",,"individual",2020,,
"238","Exhibition","Los ciegos guiando a los ciegos18",,"individual",2018,,
"239","Exhibition","Llamadas perdidas de familia muerta",,"individual",2017,,
"240","Exhibition","Libres, Salvajes y Zorros",,"individual",2019,,
"241","Exhibition","Líderes Errados, dónde están los héroes",,"individual",2015,,
"242","Exhibition","Le papelinos of lepapel",,"individual",2017,,
"243","Exhibition","Las historias no terminan así, esto ni siquiera comenzó",,"individual",2015,,
"244","Exhibition","Las ruinas del espíritu",,"individual",2016,,
"245","Exhibition","La desnudez de la muerte",,"individual",2012,,
"246","Exhibition","La insoportable muerte",,"colectiva",2018,,
"247","Exhibition","La piñatota",,"individual",2017,,
